,ADDRESS,DATE,PRICE,SQFT,BEDS,BATH,PARK,UNIT#,Neighbourhood,Codes
1971,11 Charlotte St,2018-02-01,520000,400,1.0,1,0.0,,1,00000000111
9293,386 Yonge St,2018-03-01,535000,549,1.0,1,0.0,2506,9,00000003863
8501,35 Balmuto St,2018-04-01,1375000,1499,2.0,3,1.0,3601,9,000000003511
4929,12 Loretto Lane,2018-05-01,892500,1299,3.0,2,1.0,,2,00000000126
4919,188 Lippincott St,2018-06-01,1250000,1499,3.0,3,2.0,,2,00000001889
536,8 Telegram Mews,2018-06-01,650000,849,2.0,2,1.0,206,1,00000000081
7595,20 Gladstone Ave,2018-06-01,593000,649,2.0,2,1.0,303,6,00000000203
533,21 Nelson St,2018-06-01,640000,749,2.0,2,1.0,302,1,00000000217
594,10 Morrison St,2018-07-01,870000,949,2.0,2,1.0,707,1,00000000101
50,8 York St,2018-08-01,1280000,1299,2.0,3,1.0,9993,1,000000000811
7613,36 Lisgar St,2018-08-01,450000,549,2.0,2,1.0,1805,6,00000000368
4986,161 Palmerston Ave,2018-08-01,1300000,1899,3.0,3,1.0,,3,00000001616
4957,,2018-09-01,581000,649,1.0,1,0.0,,2,0000000nan4
5003,161 Palmerston Ave,2018-09-01,1350000,1499,2.0,2,1.0,,3,00000001616
2890,101 Peter St,2018-10-01,573500,400,1.0,1,0.0,4005,1,00000001013
2945,35 Mariner Terr,2018-10-01,656800,749,1.0,1,1.0,1210,1,00000000352
8249,38 Cameron St,2018-10-01,634000,549,1.0,1,1.0,901,7,00000000388
7860,20 Gladstone Ave,2018-10-01,575000,749,2.0,1,1.0,605,6,00000000203
62,629 King St W,2018-10-01,1270000,1299,2.0,3,2.0,917,1,00000006296
2936,38 Stewart St,2018-11-01,508000,549,1.0,1,0.0,506,1,00000000388
817,55 Bremner Blvd,2018-11-01,1200000,1299,3.0,2,0.0,5006,1,00000000552
7642,36 Lisgar St,2018-12-01,517000,549,2.0,2,0.0,99903,6,00000000368
