,ADDRESS,DATE,PRICE,SQFT,BEDS,BATH,PARK,UNIT#,Neighbourhood,Codes
53,8 York St,2018-08-01,1475000,1299,2.0,3,1.0,9993,1,000000000823
454,18 Harbour St,2018-05-01,720000,749,2.0,2,1.0,1711,1,000000001861
635,21 Widmer St,2018-08-01,711500,649,1.0,2,1.0,1106,1,000000002167
4570,38 Niagara St,2020-02-01,787000,749,1.0,1,1.0,502,1,0000000038156
4918,188 Lippincott St,2018-02-01,1220000,1499,3.0,3,,,2,0000000188167
4919,188 Lippincott St,2018-06-01,1250000,1499,3.0,3,2.0,,2,0000000188167
6617,50 Lynn Williams St,2018-10-01,475500,549,1.0,1,0.0,505,5,0000000050239
7642,36 Lisgar St,2018-12-01,517000,549,2.0,2,,99903,6,0000000036274
7650,36 Lisgar St,2019-01-01,522500,549,2.0,2,,99911,6,0000000036274
7656,68 Abell St,2019-02-01,585000,649,2.0,2,,,6,0000000068274
7809,20 Minowan Miikan Lane,2018-06-01,585000,649,1.0,1,1.0,204,6,0000000020275
7856,8 Gladstone Ave,2018-09-01,510000,649,1.0,1,0.0,307,6,0000000008275
7901,8 Gladstone Ave,2019-02-01,536000,649,1.0,1,,301,6,0000000008275
7943,36 Lisgar St,2019-07-01,425000,649,2.0,1,1.0,523,6,0000000036277
7979,36 Lisgar St,2019-11-01,420000,549,1.0,1,0.0,630,6,0000000036277
7986,36 Lisgar St,2020-01-01,462521,549,1.0,1,0.0,630,6,0000000036277
8006,1171 Queen St W,2020-04-01,630000,749,1.0,1,0.0,407,6,0000001171277
8478,130 Rusholme Rd,2020-05-01,1130000,849,2.0,1,1.0,702,8,0000000130309
8501,35 Balmuto St,2018-04-01,1375000,1499,2.0,3,1.0,3601,9,0000000035313
8524,180 University Ave,2019-04-01,1875000,1699,2.0,3,1.0,2005,9,0000000180313
8542,180 University Ave,2019-09-01,2168000,1699,2.0,3,1.0,3705,9,0000000180313
